,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1st,34.7,32.9,32.6,29,26.8,21.7,20.4,23.4,24.2,25.9,NaN,28
2nd,32.5,32.9,32.1,27.7,27.5,22.8,21.6,22.7,24.6,22.2,28.2,29.4
3rd,26.8,32.4,32.3,25.6,27.5,23.5,22.3,22.9,27.1,27.1,28.6,NaN
4th,29.6,32.8,31.8,24.5,23.6,23.8,NaN,22.5,28.4,28.5,29.7,28
5th,29.4,32.8,34.3,25.6,24.8,23.6,26.4,23.1,27.5,30.1,28.9,NaN
6th,28.6,33,31.5,22.7,24.9,22.6,23.6,24.9,27,30.7,28.3,31.8
7th,28.5,32.8,33,26.3,26.4,20.2,16.4,26.3,27.1,24.1,28,33.1
8th,29.2,32.8,31,26.2,22,21.8,21.9,22.8,26.7,27.4,25.6,31
9th,30,32.2,31.1,27.4,23.5,23.2,21.5,24.1,24.9,29.1,24.7,30.2
10th,31.2,33,31.9,29,19.5,22.9,21.7,24.1,23.9,33.1,24.5,28.9
11th,32.3,37,31.1,27.1,24.7,21.1,22.8,26.2,25.7,28.8,25.6,29.4
12th,35.6,37.6,32.9,28.3,23.9,22.4,21.3,29,27.9,25.4,25.8,29.4
13th,33.3,35.6,27.8,26.7,23.1,18.9,20.8,26.6,27.1,29.9,26.1,28.9
14th,35,30.3,30.4,26.8,21.9,20.3,22.7,26.9,23.3,27,26.5,29.9
15th,32,30.4,28.9,26.7,26.4,22.9,24.6,27.3,24.6,22.6,26.8,30.3
16th,31.2,31.7,33.1,26.6,26,24.1,23.1,28.6,27.1,22.6,28,30.6
17th,31.9,31.8,35.7,26.8,25,24.6,NaN,32.3,24.4,22.8,27,30.3
18th,35,31.9,32.8,26.6,23.6,23.6,26.3,25.9,24.5,23.9,24.1,29.2
19th,30.9,34,29.6,26,20.7,22.7,19.1,20.7,28.1,24.6,24,31.1
20th,32.3,31.7,27.3,26.2,25,21,20.7,21.8,25.9,26.4,26.5,31.7
21st,33.6,32,28.6,NaN,25.8,23.4,21.6,22.1,25.9,20.4,25.9,32.9
22nd,29.1,30.3,27.9,24.8,25.9,22.7,21.8,24.9,28.2,NaN,25.5,NaN
23rd,29.2,31,29.3,26.4,26.9,23.7,23.2,26.7,28.6,22.7,26.5,31.7
24th,32.2,32,29.4,26,27.7,24.5,25.3,24.4,29.2,25.6,28.8,33
25th,31.4,31.9,28,26.9,24.9,24.2,23.8,22.9,29.9,27.3,28.7,36.2
26th,32.3,31.6,NaN,23.7,25,25.1,25.7,23.9,30.5,30.6,29.5,29.7
27th,29.1,29.1,30.1,22.6,24.6,22.1,23.3,23.7,25.5,30.3,29,29.6
28th,30.6,31.1,31.3,25.3,25.7,23.9,26.3,23,30.8,28.9,29.2,29.4
29th,31.8,NaN,29.5,26.3,26.4,24.5,24.8,22.1,37,30.5,26.7,30.4
30th,NaN,NaN,25.8,25.8,25.1,23,24.2,25.8,34.1,30.6,27.5,32.2
31st,32.5,NaN,28.3,NaN,22.4,NaN,25.6,23.3,NaN,29.7,NaN,33.6
